x,cdf(x),ccdf(x)
-197,3.987550796214666951171895305635934319368573202532829299147610820091821921910823614711290337535968008911876234802068825175073110865738660771690099730322e-4427129,1
-196.5,1.541088504047641567604845406572247525378931649282279997186859143143456327188184640468874121184036206211829721250500974438283792277324370038761083790872e-4393505,1
-196,1.250897610699974811037544094336597715114139980845542317101938906712394450679091048803210129581642118458159859002394028652683468582650259955612813745173e-4360052,1
-195.5,5.796732752857087081239634556329145457045379937577160307049966663295431148964502561639407379220204538371058421415203844570346804716224850768271064877108e-4326770,1
-195,4.168757484718453287027187042949697965453024585739923061977740243220966330616051627489952613201171824388890595256994135745336250140642165320084692770977e-4293657,1
-194.5,1.264696521985326582377634600414402132510887312078082647279525561811356269169820455507315387909823729255879288587904271188336177751978442125871833294906e-4260713,1
-194,4.399637166047823129382040896868773073948291559238505715963715494269792423484478432402972602981437771633193193378627948088013304325684107996197618540032e-4227939,1
-193.5,4.77081689756480026941806833394848116555648382867287201072948342480758427132043171224879257251014069097204091680199508095876163598513063584501065210227e-4195333,1
-193,4.383373609391474519272304546074234855401109417345595303703855401518994199293635624721960539149383415738334430028806018600236840332341567123399444145413e-4162895,1
-192.5,9.275953992709017663320103993428728768455720941489409678555079439421711521142460994056391288480848165380114525309107923115991567275243091835646892942966e-4130625,1
-192,1.228959427646293840137645508510804779305416608904058471626433106387776884788892338811039162887189336187620217309659750578768949260905325707667071272321e-4098521,1
-191.5,2.771021351209857513548258649607963184386412451546195564362839096558395703953820902950916763114638849666759178776214325060852601483870168146252544215313e-4066585,1
-191,2.890414124076671009999109360066942030263905750079997654416743863934040513554172564813980631651103567310150074258846801956680548802637253631915356150686e-4034815,1
-190.5,3.791339247194966032990759936849334333743870164005377234912959807556693600491264609664909096463249791856310987327335442740662829050918804078323300080243e-4003211,1
-190,1.6999341756735271310610250245282181109665525094850704517277683445958685303882002282733342130986288961771680223391779896481533853862765341930646680857e-3971772,1
-189.5,7.082277700253249311816400592055391239589416740901240931004052093417586155743795023525161700438212857291477040235054771258699594699429630651509426021212e-3940499,1
-189,7.452632261832694152015243121857789703338341800759710416305001286771677019767752942332813003032421221008906970026528976951114872596194555735682588183692e-3909390,1
-188.5,5.384394010920409751967341247255336476758044686243090090503587890681028339291626030913118154758890479432309607733443652299924413603485498277724848488146e-3878445,1
-188,7.260204918272030271071572145083725411393658917693802605326027735754850631793161511982172504858316481225223994399921751871652461185778183473214292384639e-3847664,1
-187.5,4.966384471117332941027202300960561625610894629613355582555656819407679435493340893192036158112115039672525527327977540171837758020748966558455008001757e-3817046,1
-187,4.684958137322354535783769946853970042755562482583291886446223805049986415157711977929587372606278870535117900891358457305427495460339028463971017473909e-3786591,1
-186.5,1.65668338748762690983482818131924646992536569793656698485370283674705391882727813067254140976758266507188363165802513451197693056261783500152013597658e-3756298,1
-186,5.969476577648900226055250110891696833010733735184573002624549707903864485150219265951343066501766710275968528495512311289369790864582480608622076142072e-3726168,1
-185.5,5.957861829611534354405711206753975527783447912750217318790763853352351973365695119187882192412907495073341406942348164996622517508020983795533288592694e-3696199,1
-185,4.477097461705260431726819803182090228957071695983985731069035528386475876165691665204205789926669723503946204662045685638389175636238560464381901785277e-3666391,1
-184.5,6.885716286552953450717436621168608684076107467428291695937954513892299238713082083946027570910686321465794148323566396736932763759990162134645938086553e-3636744,1
-184,5.891727640152234959899704047533346454911967904171683765025560666426799309294797715067436459417391366421521688608366329303831961358632760584582551449877e-3607257,1
-183.5,7.62380308079828793914733415163832859086609175502350156282774036552161043770368002334534994293424361434697071734811313456911568393876286108920654857433e-3577930,1
-183,4.055371606867120584021989212146493610605184532970907254338008311632437441114597556770092851565321167310717136281656442481379163955732916018378147910444e-3548762,1
-182.5,2.410538813693214330248753532656601589960119242624041980041063625778372382781310759634158823244888339125602592005030044191737916929570631859386733462469e-3519753,1
-182,4.352277683832973471567807165222023561337274385120032531943728675493616025900341695680495707081697741514264684735604383696183298885397999947293123989272e-3490903,1
-181.5,6.488324588561371047737479128968975918286749568052783778750885561908190645539145302434013939210025336693480864196699911977579181153548722411312105937726e-3462211,1
-181,2.170983649105776119010467245631129741673406604601847086784153324453551184841680599035195680639571336410448358736037845400164588522388560389354824271357e-3433676,1
-180.5,4.431829656220926569664505328089862422662908943431845534842175813653351595679653565617818454647633385113763933314071636188680060062851771206691969591216e-3405299,1
-180,1.500398418634416775570269608615791330259230660890801140527397657545023712438479470752661692305871698808028095744821173278751503173448478672074995332631e-3377078,1
-179.5,2.289927209839994866278149676014244509018698996039190973644973115818871861565063178955264822873624701740521536488785648515883083935397433446175492472632e-3349014,1
-179,4.282750838532327223521834000444788956752940461170753637644136241821794762952934874968588617737900226506909212521866627573773286189842343415894665178188e-3321106,1
-178.5,2.668114736327992445229452883757115548082188010084992566939190060940733325508430471125698051346657904000352218263019200524162105245820824729950528384209e-3293353,1
-178,1.505085827190631004992566654175637725815923766370597163109260106621141242948065032348895155780924499225542628435639506377384818992421613744895784155414e-3265755,1
-177.5,2.08971766265417306387031978012930420154691439185211358064802677788885852827225895254952100646544766901608842072415031660665749115467510198005666436989e-3238312,1
-177,1.941234737679989443459396278208196784929645475102395018287505672816781483155563518687622640727279251640587947097798379043014696349210549160070899641836e-3211023,1
-176.5,3.279646985833965967159913664744459548519535550983506794541158395599223642896123891783928919800281193090729289428381176662230303366170681415568728501661e-3183888,1
-176,2.739234804898421709791154247308909952452366300919380024267090029957948914862274375330893216290244463549308497265051226697450524019282838099462701821724e-3156906,1
-175.5,3.074532232480545763481937380385948650492925352725797212397335949584473096092759017781950145269779041581992287507523001465826793959618362050296791757307e-3130077,1
-175,1.260581645157362034547378101828207652293543744956123663581462057468749950669798580143543961415715334640603799487690516099268736139002336579907971220617e-3103400,1
-174.5,5.132152583229970372742937604408491017959161748212943042050756088332043272579931465390064889863093613829671940438920977440154349615532614239500304041398e-3076876,1
-174,5.639742879926721748615881081045837466391742101785485801441982553517958569489264343875073831108962375298100344034215734023892338033675893197334487874681e-3050503,1
-173.5,4.547207015625217297672766777070611502134924588456355839233315601620392922955645187024360793766654371897805876441867160874771001243980970934278614387774e-3024281,1
-173,7.312238325789101847367711182988026646196867132275929616989575262233734936940198553166822964346588552908523565049969213833962784859413561671259300060719e-2998210,1
-172.5,6.374860011746941725014277363790468124166763026374395504053984937883217576716940372399260818826320145326729065888883209853051818659439696020325306067552e-2972289,1
-172,8.190307048819210402493459919768888632596231294879653010758177598503290796633632242197422333808633800497256263605487694657215725851513699779256612017189e-2946518,1
